UNINUM,Number,Name,Address,County,City,State,Zip,Service.Type,Established.Date,Acquired.Date,X,Y
40666,7583,Van Ness Branch,4302 Connecticut Ave Nw,District Of Columbia,Washington,DC,20008,Full Service Brick and Mortar Office,01/01/1916,03/20/2010,-77.0647886,38.9456768
43739,7827,Annandale - Little River Branch,7620 Little River Turnpike,Fairfax,Annandale,VA,22003,Full Service Brick and Mortar Office,01/01/1952,03/20/2010,-77.2089661,38.8332897
47703,8648,Broadview Avenue Branch,155 Broadview Avenue,Fauquier,Warrenton,VA,20186,Full Service Brick and Mortar Office,07/17/1992,03/20/2010,-77.80550010000002,38.7213227
190923,7571,Penn-Branch Branch,"3200 Pennsylvania Avenue, S.E.",District Of Columbia,Washington,DC,20020,Full Service Brick and Mortar Office,08/17/1964,03/20/2010,-76.9602103,38.8699904
190926,7572,Macarthur & Arizona Branch,"5201 Macarthur Boulevard, N.W.",District Of Columbia,Washington,DC,20016,Full Service Brick and Mortar Office,11/01/1961,03/20/2010,-77.1033081,38.9271295
190928,7573,Wisconsin & Calvert Branch,"3700 Calvert Street, N.W.",District Of Columbia,Washington,DC,20007,Full Service Brick and Mortar Office,08/31/1959,03/20/2010,-77.07346749999999,38.9223417
190933,7574,17th & Pennsylvania Avenue Branch,"1700 Pennsylvania Avenue, N.W.",District Of Columbia,Washington,DC,20006,Full Service Brick and Mortar Office,12/31/1975,03/20/2010,-77.0398051,38.8985971
190934,7579,Georgetown Branch,"2901 M Street, N.W.",District Of Columbia,Washington,DC,20007,Full Service Brick and Mortar Office,01/16/1978,03/20/2010,-77.05829030000001,38.9054503
190939,7581,Fort Lincoln Branch,"2119 Bladensburg Road, N.E.",District Of Columbia,Washington,DC,20018,Full Service Brick and Mortar Office,11/17/1980,03/20/2010,-76.9576567,38.9306883
190940,7582,Capital Gallery Branch,"600 Maryland Avenue, S.W.",District Of Columbia,Washington,DC,20024,Full Service Brick and Mortar Office,09/21/1981,03/20/2010,-77.02091779999999,38.88628509999999
192637,8680,Airport Road Branch,3490 Seminole Trail,Albemarle,Charlottesville,VA,22911,Full Service Brick and Mortar Office,06/10/1974,03/20/2010,-78.4364258,38.1322828
205014,7845,Perry Hall Branch,8851 Belair Road,Baltimore,Baltimore,MD,21236,Full Service Brick and Mortar Office,07/31/1997,03/20/2010,-76.4825609,39.3962811
205045,7916,Tollgate Plaza Branch,615 Bel Air Road,Harford,Bel Air,MD,21014,Full Service Brick and Mortar Office,12/08/1997,03/20/2010,-76.3543729,39.5240987
208768,7857,Penn Daw Branch,6300 Richmond Highway,Fairfax,Alexandria,VA,22306,Full Service Brick and Mortar Office,04/07/1965,03/20/2010,-77.07951539999999,38.7808123
208779,7858,Dale City Branch,2876 Dale Boulevard,Prince William,Dale City,VA,22193,Full Service Brick and Mortar Office,11/04/1968,03/20/2010,-77.2992798,38.6280981
208798,8710,University Mall Branch,920 University City Boulevard,Montgomery,Blacksburg,VA,24060,Full Service Brick and Mortar Office,09/10/1979,03/20/2010,-80.4338039,37.2359349
208876,7784,Churchland - Western Branch,3114 Western Branch Boulevard,Chesapeake City,Chesapeake,VA,23321,Full Service Brick and Mortar Office,12/11/1967,03/20/2010,-76.4015084,36.8628083
208878,7785,Hodges Ferry Branch,3936 Portsmouth Boulevard,Chesapeake City,Chesapeake,VA,23321,Full Service Brick and Mortar Office,03/29/1971,03/20/2010,-76.40430359999999,36.8254856
212242,7799,Claremont Branch,4651 King Street,Alexandria City,Alexandria,VA,22302,Full Service Brick and Mortar Office,12/10/1962,03/20/2010,-77.10762059999999,38.84201669999999
212244,7814,Northwest Branch,1711 Fern Street,Alexandria City,Alexandria,VA,22302,Full Service Brick and Mortar Office,11/18/1946,03/20/2010,-77.0851584,38.8300602
212245,7815,West End Branch,4601 Duke Street,Alexandria City,Alexandria,VA,22304,Full Service Brick and Mortar Office,01/04/1954,03/20/2010,-77.1113687,38.8121757
212251,7800,Pinecrest Branch,6565 Little River Turnpike,Fairfax,Alexandria,VA,22312,Full Service Brick and Mortar Office,01/27/1972,03/20/2010,-77.1630532,38.8221199
212252,7816,North Washington Street Branch,330 North Washington Street,Alexandria City,Alexandria,VA,22314,Full Service Brick and Mortar Office,05/29/1973,03/20/2010,-77.0465486,38.8082375
212279,8630,Ivy Road Branch,2100 Ivy Road,Charlottesville City,Charlottesville,VA,22903,Full Service Brick and Mortar Office,07/29/1960,03/20/2010,-78.5120228,38.0424533
212281,8631,Emmet Street Branch,901 Emmet Street,Charlottesville City,Charlottesville,VA,22903,Full Service Brick and Mortar Office,01/06/1966,03/20/2010,-78.50400599999999,38.0482297
212283,8632,Louisa Branch,200 West Main Street,Louisa,Louisa,VA,23093,Full Service Brick and Mortar Office,10/05/1949,03/20/2010,-78.0038629,38.0250616
212292,8636,Fashion Square Branch,1625 Seminole Trail,Albemarle,Charlottesville,VA,22901,Full Service Brick and Mortar Office,12/02/1971,03/20/2010,-78.4743508,38.0802093
212322,8677,Culpeper South Branch,307 South Gate Shopping Center,Culpeper,Culpeper,VA,22701,Full Service Brick and Mortar Office,06/07/1968,03/20/2010,-78.00216809999999,38.4633973
212395,7779,Market Street Branch,141 East Market Street,Harrisonburg City,Harrisonburg,VA,22801,Full Service Brick and Mortar Office,12/08/1971,03/20/2010,-78.8670598,38.4489519
212398,7780,Valley Mall Branch,2005 E Market St,Harrisonburg City,Harrisonburg,VA,22801,Full Service Brick and Mortar Office,10/10/1978,03/20/2010,-78.8410735,38.4270761
212437,8629,Hope Drive Branch,2490 Valley Avenue,Winchester City,Winchester,VA,22601,Full Service Brick and Mortar Office,03/01/1984,03/20/2010,-78.1855215,39.1577855
