UNINUM,Number,Name,Address,County,City,State,Zip,Service Type,Established Date,Acquired Date
195998,4297,Pueblo North Branch,3000 Hart Road,Pueblo,Pueblo,CO,81008,Full Service Brick and Mortar Office,12/09/1996,11/21/2003
195999,4298,North Boulder Branch,3307 30th Street,Boulder,Boulder,CO,80301,Full Service Brick and Mortar Office,01/21/1997,11/21/2003
196000,4299,Dillon Ridge Office,300 Dillon Ridge Rd,Summit,Dillon,CO,80435,Full Service Retail Office,05/04/1998,11/21/2003
196001,4300,Gunnison Branch,909 North Main Street,Gunnison,Gunnison,CO,81230,Full Service Brick and Mortar Office,06/08/1998,11/21/2003
196002,4303,Glenwood Meadows Branch,205 East Meadows Drive,Garfield,Glenwood Springs,CO,81601,Full Service Brick and Mortar Office,11/23/1998,11/21/2003
196003,4307,Broadmoor Bluffs Branch,6520 South Academy Boulevard,El Paso,Colorado Springs,CO,80906,Full Service Retail Office,01/15/1999,11/21/2003
196004,4310,Woodland Park Plaza Branch,1101 E Us Hwy 24,Teller,Woodland Park,CO,80863,Full Service Retail Office,12/28/1998,11/21/2003
196005,4311,West Colorado In-Store Branch,3275 W Colorado Ave,El Paso,Colorado Springs,CO,80904,Full Service Retail Office,10/25/1999,11/21/2003
196014,4305,Edwards Branch,34237 Highway 6,Eagle,Edwards,CO,81632,Full Service Brick and Mortar Office,06/14/1993,11/21/2003
196017,4306,Telluride Branch,"620 Mountain Village Boulevard, Po Box 11",San Miguel,Telluride,CO,81435,Full Service Brick and Mortar Office,09/01/1996,11/21/2003
196027,4266,Cottonwood Square Branch,2300 W Sixteenth Street,Weld,Greeley,CO,80634,Full Service Brick and Mortar Office,01/10/1994,11/21/2003
196082,3909,Financial Center Branch,910 Ruben M Torres Boulevard,Cameron,Brownsville,TX,78520,Full Service Brick and Mortar Office,07/14/1986,11/21/2003
196118,4148,Decatur Branch,1409 Highway 51 South,Wise,Decatur,TX,76234,Full Service Brick and Mortar Office,06/02/1986,11/21/2003
196119,4150,Benbrook Branch,851 Winscott Road,Tarrant,Benbrook,TX,76126,Full Service Brick and Mortar Office,09/15/1993,11/21/2003
196120,4151,Decatur Walmart Branch,800 South Highway 287,Wise,Decatur,TX,76234,Full Service Retail Office,04/26/1995,11/21/2003
196121,4152,Fort Worth Eastchase Pkwy Branch,1701 Eastchase Parkway,Tarrant,Fort Worth,TX,76120,Full Service Brick and Mortar Office,06/01/1995,11/21/2003
196138,4087,Freedom Crossing Branch,1722 Marshall Road,El Paso,El Paso,TX,79906,Full Service Brick and Mortar Office,08/28/1950,11/21/2003
196142,4092,George Dieter Branch,1340 George Dieter Drive,El Paso,El Paso,TX,79936,Full Service Brick and Mortar Office,04/08/1998,11/21/2003
196143,4093,Tierra Este Branch,12680 Tierra Este Rd,El Paso,El Paso,TX,79938,Full Service Brick and Mortar Office,04/01/1998,11/21/2003
196157,3907,Marquez Branch,722 North Vw Goodwin Boulevard,Leon,Marquez,TX,77865,Full Service Brick and Mortar Office,01/12/1996,11/21/2003
196370,6476,Richmond Road Branch,2317 Richmond Road,Bowie,Texarkana,TX,75503,Full Service Brick and Mortar Office,09/08/1998,04/25/2009
196377,3776,Southwest Branch,2714 Southwest Parkway,Wichita,Wichita Falls,TX,76308,Full Service Brick and Mortar Office,11/14/1994,11/21/2003
196402,730,Barrington Place Branch,143 South Barrington Place,Los Angeles,Los Angeles,CA,90049,Full Service Brick and Mortar Office,09/03/1963,05/30/1986
197241,769,Tustin-Collins Branch,892 North Tustin Street,Orange,Orange,CA,92867,Full Service Brick and Mortar Office,08/03/1959,05/30/1986
197244,772,Villa Park Branch,17775 Santiago Boulevard,Orange,Villa Park,CA,92861,Full Service Brick and Mortar Office,07/31/1970,05/30/1986
