UNINUM,Number,Name,Address,County,City,State,Zip,Service Type,Established Date,Acquired Date
42,8944,Florala Branch,22769 Lakeshore Boulevard,Covington,Florala,AL,36442,Full Service Brick and Mortar Office,01/01/1904,03/20/2010
92,7447,Madison Branch,200 W Base St,Madison,Madison,FL,32340,Full Service Brick and Mortar Office,02/02/1931,03/20/2010
94,7166,Springfield Branch,1601 Main Street,Duval,Jacksonville,FL,32206,Full Service Brick and Mortar Office,12/01/1925,03/20/2010
103,7285,Downtown Daytona Branch,130 North Ridgewood Avenue,Volusia,Daytona Beach,FL,32114,Full Service Brick and Mortar Office,07/02/1923,03/20/2010
104,7448,Perry Branch,200 West Main Street,Taylor,Perry,FL,32347,Full Service Brick and Mortar Office,04/24/1907,03/20/2010
105,9010,Crestview Branch,320 North Ferdon Boulevard,Okaloosa,Crestview,FL,32536,Full Service Brick and Mortar Office,01/01/1918,03/20/2010
106,7237,Haines City Branch,615 East Hinson Avenue,Polk,Haines City,FL,33844,Full Service Brick and Mortar Office,01/21/1913,03/20/2010
108,7387,Downtown Bradenton Branch,303 9th Street West,Manatee,Bradenton,FL,34205,Full Service Brick and Mortar Office,03/25/1925,03/20/2010
142,7099,Magnolia Street Branch,37 Magnolia Street,Fulton,Roswell,GA,30075,Full Service Brick and Mortar Office,03/01/1901,03/20/2010
182,4899,Jefferson Branch,200 West State Street,Greene,Jefferson,IA,50129,Full Service Brick and Mortar Office,03/03/1926,02/20/2004
190,4845,Atlantic Branch,600 Chestnut Street,Cass,Atlantic,IA,50022,Full Service Brick and Mortar Office,01/01/1933,02/20/2004
197,4849,Marion Branch,340 Seventh Avenue,Linn,Marion,IA,52302,Full Service Brick and Mortar Office,06/01/1900,02/20/2004
273,3681,Shelby Branch,131 Main Street,Toole,Shelby,MT,59474,Full Service Brick and Mortar Office,01/01/1917,11/21/2003
275,3676,Glasgow Branch,623 2nd Avenue South,Valley,Glasgow,MT,59230,Full Service Brick and Mortar Office,01/29/1917,11/21/2003
280,3698,Lewistown Branch,404 West Broadway Street,Fergus,Lewistown,MT,59457,Full Service Brick and Mortar Office,01/01/1930,11/21/2003
343,8072,Saucon Valley Branch,659 Main Street,Northampton,Hellertown,PA,18055,Full Service Brick and Mortar Office,04/03/1920,03/20/2010
373,6460,Jackson Town Square Branch,110 Center Street,Teton,Jackson,WY,83001,Full Service Brick and Mortar Office,07/22/1914,10/18/2008
381,8175,Carteret Branch,2 Holmes Street,Middlesex,Carteret,NJ,7008,Full Service Brick and Mortar Office,09/15/1923,03/20/2010
457,8082,Paoli Branch,24 East Lancaster Avenue,Chester,Paoli,PA,19301,Full Service Brick and Mortar Office,01/11/1927,03/20/2010
458,6816,Bryn Mawr - Rosemont Branch,1200 East Lancaster Avenue,Montgomery,Bryn Mawr,PA,19010,Full Service Brick and Mortar Office,01/01/1866,03/20/2010
514,8298,Winston Salem Main Branch,100 North Main Street,Forsyth,Winston Salem,NC,27101,Full Service Brick and Mortar Office,01/01/1879,03/20/2010
535,8862,Tower Branch,420 North 20th St,Jefferson,Birmingham,AL,35203,Full Service Brick and Mortar Office,11/09/1887,03/20/2010
543,8969,Hamilton Main Branch,320 Bexar Avenue West,Marion,Hamilton,AL,35570,Full Service Brick and Mortar Office,01/01/1905,03/20/2010
544,8985,Selma Main Branch,2605 Citizens Parkway,Dallas,Selma,AL,36701,Full Service Brick and Mortar Office,09/22/1913,03/20/2010
563,8479,Monroe Main Branch,221 South Broad Street,Walton,Monroe,GA,30655,Full Service Brick and Mortar Office,01/01/1906,03/20/2010
679,4976,Sheboygan Downtown Branch,636 Wisconsin Avenue,Sheboygan,Sheboygan,WI,53081,Full Service Brick and Mortar Office,07/07/1896,02/20/2004
747,3669,Anaconda Branch,120 West Park Avenue,Deer Lodge,Anaconda,MT,59711,Full Service Brick and Mortar Office,01/01/1934,11/21/2003
749,3688,Bozeman Branch,211 West Main Street,Gallatin,Bozeman,MT,59715,Full Service Brick and Mortar Office,01/01/1902,11/21/2003
753,3665,Helena Downtown Branch,350 North Last Chance Gulch,Lewis And Clark,Helena,MT,59601,Full Service Brick and Mortar Office,01/17/1898,11/21/2003
772,4814,Winner Branch,425 South Main Street,Tripp,Winner,SD,57580,Full Service Brick and Mortar Office,01/01/1909,02/20/2004
802,4346,Wheatland Branch,874 Gilchrist Street,Platte,Wheatland,WY,82201,Full Service Brick and Mortar Office,03/28/1903,11/21/2003
805,4674,Deming Branch,223 South Gold Avenue,Luna,Deming,NM,88030,Full Service Brick and Mortar Office,10/01/1925,02/20/2004
824,3924,Madisonville Branch,207 East Main Street,Madison,Madisonville,TX,77864,Full Service Brick and Mortar Office,02/07/1907,11/21/2003
882,7304,One Orlando Centre Branch,800 North Magnolia Avenue,Orange,Orlando,FL,32803,Full Service Brick and Mortar Office,03/10/1930,03/20/2010
910,4468,Sauk Rapids Branch,115 South First Street,Benton,Sauk Rapids,MN,56379,Full Service Brick and Mortar Office,05/01/1929,02/20/2004
916,4418,Forest Lake Branch,208 South Lake Street,Washington,Forest Lake,MN,55025,Full Service Brick and Mortar Office,05/03/1903,02/20/2004
929,4485,Pequot Lake Branch,4284 Main Street,Crow Wing,Pequot Lakes,MN,56472,Full Service Brick and Mortar Office,06/17/1914,02/20/2004
957,3740,Kearney Main Branch,21 West 21st Street,Buffalo,Kearney,NE,68847,Full Service Brick and Mortar Office,01/01/1917,11/21/2003
958,3721,University Place Branch,2301 North 48th Street,Lancaster,Lincoln,NE,68504,Full Service Brick and Mortar Office,05/01/1908,11/21/2003
984,3784,Laredo Downtown Branch,1100 Matamoros Street,Webb,Laredo,TX,78040,Full Service Brick and Mortar Office,04/02/1928,11/21/2003
989,3824,Gonzales Branch,1106 East Sarah Dewitt Drive,Gonzales,Gonzales,TX,78629,Full Service Brick and Mortar Office,01/01/1900,11/21/2003
1049,4427,Chaska Downtown Branch,400 N Chestnut Street,Carver,Chaska,MN,55318,Full Service Brick and Mortar Office,04/01/1870,02/20/2004
1129,3825,Bastrop Branch,808 Main Street,Bastrop,Bastrop,TX,78602,Full Service Brick and Mortar Office,02/09/1909,11/21/2003
1292,4377,Camden Branch,4141 Lyndale Avenue North,Hennepin,Minneapolis,MN,55412,Full Service Brick and Mortar Office,01/01/1910,02/20/2004
1353,8384,Reidsville Main Branch,227 West Morehead Street,Rockingham,Reidsville,NC,27320,Full Service Brick and Mortar Office,01/01/1882,03/20/2010
1382,8514,Broad Street Branch,16 Broad Street,Charleston,Charleston,SC,29401,Full Service Brick and Mortar Office,01/01/1834,03/20/2010
1400,7112,Uptown Branch,101 13th Street,Muscogee,Columbus,GA,31901,Full Service Brick and Mortar Office,01/01/1876,03/20/2010
1405,8484,Dalton Main Branch,201 South Hamilton Street,Whitfield,Dalton,GA,30720,Full Service Brick and Mortar Office,01/01/1888,03/20/2010
1409,8476,Sugarloaf Station Branch,3325 Sugarloaf Parkway,Gwinnett,Lawrenceville,GA,30044,Full Service Brick and Mortar Office,01/01/1921,03/20/2010
1420,7095,Newnan Main Branch,30 Greenville Street,Coweta,Newnan,GA,30263,Full Service Brick and Mortar Office,12/21/1906,03/20/2010
1422,7097,Rome Medical Center Branch,475 Turner Mccall Blvd Ne,Floyd,Rome,GA,30165,Full Service Brick and Mortar Office,01/02/1913,03/20/2010
1436,3668,Dillon Branch,20 North Montana Street,Beaverhead,Dillon,MT,59725,Full Service Brick and Mortar Office,01/01/1880,11/21/2003
1450,3663,Kalispell North Branch,2350 Us Highway 93 North,Flathead,Kalispell,MT,59901,Full Service Brick and Mortar Office,06/19/1891,11/21/2003
1466,4340,Casper Downtown Branch,234 East First Street,Natrona,Casper,WY,82601,Full Service Brick and Mortar Office,01/01/1914,11/21/2003
1468,4344,Cheyenne Downtown Branch,1701 Capitol Avenue,Laramie,Cheyenne,WY,82001,Full Service Brick and Mortar Office,04/02/1882,11/21/2003
1469,6465,Cody Main Branch,1401 Sheridan Avenue,Park,Cody,WY,82414,Full Service Brick and Mortar Office,01/01/1901,10/18/2008
1486,4685,Belen Main Branch,101 South Main Street,Valencia,Belen,NM,87002,Full Service Brick and Mortar Office,01/28/1903,02/20/2004
1487,4712,Farmington Main Branch,100 East Broadway,San Juan,Farmington,NM,87401,Full Service Brick and Mortar Office,01/01/1902,02/20/2004
1495,4733,South Main Branch,500 South Main Street,Dona Ana,Las Cruces,NM,88001,Full Service Brick and Mortar Office,04/25/1905,02/20/2004
1498,4642,Lomas Branch,"200 Lomas Boulevard, Nw, Mac Q2129-122",Bernalillo,Albuquerque,NM,87102,Full Service Brick and Mortar Office,05/03/1902,02/20/2004
1500,4694,Tucumcari Branch,302 South First Street,Quay,Tucumcari,NM,88401,Full Service Brick and Mortar Office,01/01/1901,02/20/2004
1501,4690,Silver City Main Branch,1201 N Pope Street,Grant,Silver City,NM,88061,Full Service Brick and Mortar Office,03/01/1906,02/20/2004
1508,4563,Financial Center Branch,3300 West Sahara Avenue,Clark,Las Vegas,NV,89102,Full Service Brick and Mortar Office,01/01/1903,02/20/2004
1555,8002,Lebanon Branch,801 Cumberland Street,Lebanon,Lebanon,PA,17042,Full Service Brick and Mortar Office,09/30/1901,03/20/2010
1609,4975,Appleton Downtown Branch,118 South State Street,Outagamie,Appleton,WI,54911,Full Service Brick and Mortar Office,05/22/1911,02/20/2004
1631,4969,Racine Branch,1700 Dr. Martin Luther King Drive,Racine,Racine,WI,53404,Full Service Brick and Mortar Office,12/03/1928,02/20/2004
1808,8935,Anniston Main Branch,1000 Quintard Avenue,Calhoun,Anniston,AL,36201,Full Service Brick and Mortar Office,01/01/1883,03/20/2010
1820,8957,Cullman Main Branch,300 2nd Avenue Southwest,Cullman,Cullman,AL,35055,Full Service Brick and Mortar Office,01/01/1909,03/20/2010
1823,8905,Dothan Main Branch,"2999 Ross Clark Circle, Southwest",Houston,Dothan,AL,36301,Full Service Brick and Mortar Office,01/01/1900,03/20/2010
1844,8943,Opp Main Branch,110 Main Street,Covington,Opp,AL,36467,Full Service Brick and Mortar Office,01/01/1905,03/20/2010
1897,4254,Boulder Branch,1242 Pearl Street,Boulder,Boulder,CO,80302,Full Service Brick and Mortar Office,04/22/1874,11/21/2003
1910,4221,Denver Branch,1740 Broadway,Denver,Denver,CO,80274,Full Service Brick and Mortar Office,01/01/1884,11/21/2003
1914,4304,Eagle Main Branch,246 Broadway,Eagle,Eagle,CO,81631,Full Service Brick and Mortar Office,02/01/1908,11/21/2003
1918,4262,Fort Collins Branch,401 South College Avenue,Larimer,Fort Collins,CO,80524,Full Service Brick and Mortar Office,11/09/1878,11/21/2003
1921,4265,Greeley Branch,1025 9th Avenue,Weld,Greeley,CO,80631,Full Service Brick and Mortar Office,05/06/1884,11/21/2003
1937,4269,Montrose Branch,400 East Main St,Montrose,Montrose,CO,81401,Full Service Brick and Mortar Office,01/01/1889,11/21/2003
1971,3874,Bay City Branch,1801 7th Street,Matagorda,Bay City,TX,77414,Full Service Brick and Mortar Office,01/01/1901,11/21/2003
1991,3908,Brownsville Downtown Branch,744 East Elizabeth Street,Cameron,Brownsville,TX,78520,Full Service Brick and Mortar Office,01/01/1914,11/21/2003
2049,4086,El Paso Downtown Branch,221 North Kansas Street,El Paso,El Paso,TX,79901,Full Service Brick and Mortar Office,04/23/1881,11/21/2003
2063,3906,Franklin Branch,208 East Us Highway 79,Robertson,Franklin,TX,77856,Full Service Brick and Mortar Office,01/01/1905,11/21/2003
2086,4169,Grapevine Main Street Branch,1400 South Main Street,Tarrant,Grapevine,TX,76051,Full Service Brick and Mortar Office,10/29/1919,11/21/2003
2090,3834,Hallettsville Branch,110 South Main Street,Lavaca,Hallettsville,TX,77964,Full Service Brick and Mortar Office,01/01/1888,11/21/2003
2099,3778,Henrietta Branch,210 North Bridge Street,Clay,Henrietta,TX,76365,Full Service Brick and Mortar Office,10/28/1933,11/21/2003
2119,4166,Terrell North Catherine Branch,112 North Catherine Street,Kaufman,Terrell,TX,75160,Full Service Brick and Mortar Office,09/15/1915,11/21/2003
2162,3979,Mesquite Branch,120 West Main Street,Dallas,Mesquite,TX,75149,Full Service Brick and Mortar Office,02/27/1902,11/21/2003
2183,3773,Kell Branch,2301 Kell Boulevard,Wichita,Wichita Falls,TX,76308,Full Service Brick and Mortar Office,01/01/1905,11/21/2003
2185,3835,Nordheim Branch,215 Broadway Street,De Witt,Nordheim,TX,78141,Full Service Brick and Mortar Office,08/04/1910,11/21/2003
2207,3842,Pleasanton Branch,425 West Oaklawn Road,Atascosa,Pleasanton,TX,78064,Full Service Brick and Mortar Office,01/01/1932,11/21/2003
2211,3767,Post Branch,216 West Main Street,Garza,Post,TX,79356,Full Service Brick and Mortar Office,01/01/1909,11/21/2003
2219,3878,Rhome Branch,101 Highway 287 North,Wise,Rhome,TX,76078,Full Service Brick and Mortar Office,01/01/1914,11/21/2003
2221,3852,Richmond Branch,700 Jackson Street,Fort Bend,Richmond,TX,77469,Full Service Brick and Mortar Office,03/01/1925,11/21/2003
2223,3849,Rockport Branch,502 North Austin Street,Aransas,Rockport,TX,78382,Full Service Brick and Mortar Office,01/01/1890,11/21/2003
2224,729,Beverly Hills Branch,9600 Santa Monica Boulevard,Los Angeles,Beverly Hills,CA,90210,Full Service Brick and Mortar Office,07/02/1929,05/30/1986
2232,767,Orange Plaza Branch,101 East Chapman Avenue,Orange,Orange,CA,92866,Full Service Brick and Mortar Office,01/01/1906,05/30/1986
2239,,"Wells Fargo Bank, National Association",101 N. Phillips Avenue,Minnehaha,Sioux Falls,SD,57104,Full Service Brick and Mortar Office,01/01/1870,
2251,7176,Seabreeze Boulevard Branch,441 Seabreeze Boulevard,Volusia,Daytona Beach,FL,32118,Full Service Brick and Mortar Office,12/23/1924,03/20/2010
2255,7173,Downtown Gainesville Branch,104 North Main Street,Alachua,Gainesville,FL,32601,Full Service Brick and Mortar Office,01/01/1888,03/20/2010
2263,7293,Lakeland Main Branch,113 South Tennessee Avenue,Polk,Lakeland,FL,33801,Full Service Brick and Mortar Office,09/04/1929,03/20/2010
2266,7376,Miami Main Branch,300 South Biscayne Boulevard,Miami-Dade,Miami,FL,33131,Full Service Brick and Mortar Office,01/01/1934,03/20/2010
2274,7437,South County Road Branch,255 South County Road,Palm Beach,Palm Beach,FL,33480,Full Service Brick and Mortar Office,12/01/1927,03/20/2010
2275,7308,Pensacola Main Branch,21 East Garden Street,Escambia,Pensacola,FL,32502,Full Service Brick and Mortar Office,10/23/1900,03/20/2010
2279,7185,Sanford Branch,101 East First Street,Seminole,Sanford,FL,32771,Full Service Brick and Mortar Office,01/01/1928,03/20/2010
2344,4914,Galesburg Branch,50 East Main Street,Knox,Galesburg,IL,61401,Full Service Brick and Mortar Office,12/15/1863,02/20/2004
2345,4918,Geneseo Branch,121 West First Street,Henry,Geneseo,IL,61254,Full Service Brick and Mortar Office,05/22/1876,02/20/2004
2546,4754,Bismarck Main Branch,400 E Broadway Ave,Burleigh,Bismarck,ND,58501,Full Service Brick and Mortar Office,12/09/1929,02/20/2004
2549,4772,Bowman Branch,13 E Divide,Bowman,Bowman,ND,58623,Full Service Brick and Mortar Office,12/30/1907,02/20/2004
2557,4752,Fargo Main Branch,406 Main Avenue,Cass,Fargo,ND,58103,Full Service Brick and Mortar Office,01/01/1878,02/20/2004
2562,4757,Grafton Branch,735 Hill Avenue,Walsh,Grafton,ND,58237,Full Service Brick and Mortar Office,01/01/1883,02/20/2004
2567,4760,Jamestown Branch,"208 Second Avenue, Southwest",Stutsman,Jamestown,ND,58401,Full Service Brick and Mortar Office,01/01/1881,02/20/2004
2571,4761,Mandan Branch,111 2nd Avenue Nw,Morton,Mandan,ND,58554,Full Service Brick and Mortar Office,01/01/1881,02/20/2004
2574,4762,Minot Southgate Crossing Branch,3106 16th Street Sw,Ward,Minot,ND,58701,Full Service Brick and Mortar Office,01/01/1897,02/20/2004
2577,4777,Valley City Branch,201 Central Avenue N,Barnes,Valley City,ND,58072,Full Service Brick and Mortar Office,01/01/1929,02/20/2004
2579,4766,Wahpeton Branch,119 6th Street North,Richland,Wahpeton,ND,58075,Full Service Brick and Mortar Office,01/01/1891,02/20/2004
2593,4797,Rapid City Main Branch,825 St. Joe Street,Pennington,Rapid City,SD,57701,Full Service Brick and Mortar Office,01/01/1878,02/20/2004
2597,4791,Mitchell Branch,403 North Lawler Street,Davison,Mitchell,SD,57301,Full Service Brick and Mortar Office,01/01/1886,02/20/2004
2607,4807,Watertown Branch,20 North Maple Street,Codington,Watertown,SD,57201,Full Service Brick and Mortar Office,01/01/1880,02/20/2004
2938,4854,Denison Branch,1109 Broadway,Crawford,Denison,IA,51442,Full Service Brick and Mortar Office,01/01/1858,02/20/2004
2940,4839,Des Moines Downtown Branch,666 Walnut Street,Polk,Des Moines,IA,50309,Full Service Brick and Mortar Office,01/01/1868,02/20/2004
2947,4855,Fort Dodge Main Branch,822 Central Avenue,Webster,Fort Dodge,IA,50501,Full Service Brick and Mortar Office,08/05/1882,02/20/2004
2948,4897,Grinnell Branch,833 4th Avenue,Poweshiek,Grinnell,IA,50112,Full Service Brick and Mortar Office,06/16/1930,02/20/2004
2955,4900,Knoxville Branch,102 South Second Street,Marion,Knoxville,IA,50138,Full Service Brick and Mortar Office,01/01/1933,02/20/2004
2959,4857,Mason City Downtown Branch,10 North Washington Avenue,Cerro Gordo,Mason City,IA,50401,Full Service Brick and Mortar Office,01/01/1869,02/20/2004
2967,4903,Perry Branch,1224 First Ave,Dallas,Perry,IA,50220,Full Service Brick and Mortar Office,08/13/1883,02/20/2004
2977,4860,Sioux City Main Branch,600 Fourth Street,Woodbury,Sioux City,IA,51101,Full Service Brick and Mortar Office,10/16/1895,02/20/2004
3253,6994,Hickory Main Branch,"200 First Avenue, N.W.",Catawba,Hickory,NC,28601,Full Service Brick and Mortar Office,01/01/1891,03/20/2010
3393,4473,Albert Lea Branch,122 East Main Street,Freeborn,Albert Lea,MN,56007,Full Service Brick and Mortar Office,01/01/1867,02/20/2004
3397,4412,Anoka Branch,2015 Third Avenue,Anoka,Anoka,MN,55303,Full Service Brick and Mortar Office,05/11/1931,02/20/2004
3402,4453,Baudette Branch,201 Main Avenue North,Lake Of The Woods,Baudette,MN,56623,Full Service Brick and Mortar Office,01/01/1906,02/20/2004
3412,4509,Buffalo 55 Branch,615 Highway 55 East,Wright,Buffalo,MN,55313,Full Service Brick and Mortar Office,05/09/1927,02/20/2004
3428,4495,Moorhead Main Branch,730 Center Avenue,Clay,Moorhead,MN,56560,Full Service Brick and Mortar Office,05/15/1927,02/20/2004
3429,4437,Duluth Downtown Branch,230 West Superior Street,St. Louis,Duluth,MN,55802,Full Service Brick and Mortar Office,12/15/1879,02/20/2004
3439,4448,Ely Branch,104 East Chapman Street,St. Louis,Ely,MN,55731,Full Service Brick and Mortar Office,03/13/1907,02/20/2004
3449,4497,Fergus Falls Branch,220 W Washington Avenue,Otter Tail,Fergus Falls,MN,56537,Full Service Brick and Mortar Office,01/01/1882,02/20/2004
3453,4440,Grand Rapids Branch,220 Northwest First Avenue,Itasca,Grand Rapids,MN,55744,Full Service Brick and Mortar Office,01/01/1890,02/20/2004
3461,4373,Hopkins Branch,1011 First Street South,Hennepin,Hopkins,MN,55343,Full Service Brick and Mortar Office,01/01/1910,02/20/2004
3462,4450,International Falls Branch,419 Third Street,Koochiching,International Falls,MN,56649,Full Service Brick and Mortar Office,08/22/1904,02/20/2004
3469,4524,Lakeville Downtown Branch,8790 207th St W,Dakota,Lakeville,MN,55044,Full Service Brick and Mortar Office,01/01/1899,02/20/2004
3473,4467,Litchfield Branch,100 North Marshall,Meeker,Litchfield,MN,55355,Full Service Brick and Mortar Office,01/01/1930,02/20/2004
3482,4471,Mankato Branch,206 E Hickory Streets,Blue Earth,Mankato,MN,56001,Full Service Brick and Mortar Office,07/18/1872,02/20/2004
3484,4506,Marshall Branch,400 West Main Street,Lyon,Marshall,MN,56258,Full Service Brick and Mortar Office,08/01/1891,02/20/2004
3489,4387,Old Saint Anthony Branch,425 East Hennepin Avenue,Hennepin,Minneapolis,MN,55414,Full Service Brick and Mortar Office,01/01/1927,02/20/2004
3490,4382,Metro South Branch,2600 East Franklin Avenue,Hennepin,Minneapolis,MN,55406,Full Service Brick and Mortar Office,01/01/1800,02/20/2004
3491,4381,Calhoun Isles Branch,1505 West Lake Street,Hennepin,Minneapolis,MN,55408,Full Service Brick and Mortar Office,01/01/1927,02/20/2004
3493,4379,Central Branch,"2329 Central Avenue, N.E.",Hennepin,Minneapolis,MN,55418,Full Service Brick and Mortar Office,01/01/1907,02/20/2004
3495,4384,Downtown East Branch,"600 South 4th Street, Suite 220",Hennepin,Minneapolis,MN,55415,Full Service Brick and Mortar Office,05/17/1909,02/20/2004
3497,4360,Wells Fargo Center Skyway Branch,90 South 7th Street,Hennepin,Minneapolis,MN,55402,Full Service Brick and Mortar Office,01/01/1872,02/20/2004
3500,4496,Detroit Lakes Branch,211 Holmes Street West,Becker,Detroit Lakes,MN,56501,Full Service Brick and Mortar Office,03/25/1929,02/20/2004
3504,4519,New Prague Branch,217 West Main Street,Scott,New Prague,MN,56071,Full Service Brick and Mortar Office,12/08/1903,02/20/2004
3519,4456,Rochester Main Branch,"21 First Street, S.W.",Olmsted,Rochester,MN,55902,Full Service Brick and Mortar Office,01/01/1868,02/20/2004
3524,4389,Saint Paul Branch,430 Wabasha Street North,Ramsey,Saint Paul,MN,55101,Full Service Brick and Mortar Office,01/01/1872,02/20/2004
3528,4517,Shakopee Downtown Branch,380 Marschall Road,Scott,Shakopee,MN,55379,Full Service Brick and Mortar Office,01/01/1864,02/20/2004
3535,4441,Two Harbors Office,622 First Avenue,Lake,Two Harbors,MN,55616,Full Service Brick and Mortar Office,06/17/1902,02/20/2004
3611,5009,La Crosse Branch,305 Fifth Avenue South,La Crosse,La Crosse,WI,54601,Full Service Brick and Mortar Office,01/01/1876,02/20/2004
3661,3712,Hastings Main Branch,747 North Burlington Avenue,Adams,Hastings,NE,68901,Full Service Brick and Mortar Office,02/15/1919,11/21/2003
3673,3730,Lincoln Main Branch,1248 O Street,Lancaster,Lincoln,NE,68508,Full Service Brick and Mortar Office,08/04/1902,11/21/2003
3695,3708,Omaha Main Branch,1919 Douglas Street,Douglas,Omaha,NE,68102,Full Service Brick and Mortar Office,10/01/1856,11/21/2003
3723,3748,West Point Branch,142 South Main Street,Cuming,West Point,NE,68788,Full Service Brick and Mortar Office,01/01/1885,11/21/2003
3730,4182,Rosenberg Branch,2910 Avenue H,Fort Bend,Rosenberg,TX,77471,Full Service Brick and Mortar Office,09/23/1923,11/21/2003
3736,3755,San Angelo Main Branch,36 West Beauregard Avenue,Tom Green,San Angelo,TX,76903,Full Service Brick and Mortar Office,10/31/1907,11/21/2003
3740,3781,Northstar Branch,40 Northeast Loop 410,Bexar,San Antonio,TX,78216,Full Service Brick and Mortar Office,01/01/1854,11/21/2003
3746,3839,San Marcos Downtown Branch,123 North Edward Gary Street,Hays,San Marcos,TX,78666,Full Service Brick and Mortar Office,01/01/1879,11/21/2003
3751,3838,Schulenburg Branch,707 Lyons Avenue,Fayette,Schulenburg,TX,78956,Full Service Brick and Mortar Office,01/03/1906,11/21/2003
3791,3801,Waco Main Branch,300 Franklin Avenue,Mclennan,Waco,TX,76701,Full Service Brick and Mortar Office,06/01/1874,11/21/2003
3865,7217,Green Cove Springs Branch,425 North Orange Avenue,Clay,Green Cove Springs,FL,32043,Full Service Brick and Mortar Office,04/21/1904,03/20/2010
3885,7118,Pine Mountain Branch,102 Broad Street,Harris,Pine Mountain,GA,31822,Full Service Brick and Mortar Office,04/19/1909,03/20/2010
3896,7091,Griffin Pavilion Branch,1506 Georgia Hwy 16 W,Spalding,Griffin,GA,30223,Full Service Brick and Mortar Office,01/01/1890,03/20/2010
3918,4927,Morrison Branch,100 W Lincoln Way,Whiteside,Morrison,IL,61270,Full Service Brick and Mortar Office,01/01/1878,02/20/2004
4090,8001,Kutztown Branch,301 West Main Street,Berks,Kutztown,PA,19530,Full Service Brick and Mortar Office,06/19/1909,03/20/2010
4137,8709,Christiansburg Main Branch,4 East Main Street,Montgomery,Christiansburg,VA,24073,Full Service Brick and Mortar Office,01/01/1888,03/20/2010
4146,8639,Powhatan Branch,3901 Old Buckingham,Powhatan,Powhatan,VA,23139,Full Service Brick and Mortar Office,09/13/1922,03/20/2010
4250,6748,Totowa Boro Branch,515 Union Boulevard,Passaic,Totowa,NJ,7512,Full Service Brick and Mortar Office,01/01/1926,03/20/2010
4254,6670,Basking Ridge Branch,59 South Finley Avenue,Somerset,Basking Ridge,NJ,7920,Full Service Brick and Mortar Office,09/22/1903,03/20/2010
4265,8159,Elizabeth Branch,68 Broad Street,Union,Elizabeth,NJ,7201,Full Service Brick and Mortar Office,01/01/1865,03/20/2010
4270,6674,Tenafly Branch,1 West Railroad Avenue,Bergen,Tenafly,NJ,7670,Full Service Brick and Mortar Office,09/10/1921,03/20/2010
4272,6652,Hamburg Branch,5 State Rt 23 South,Sussex,Hamburg,NJ,7419,Full Service Brick and Mortar Office,01/01/1906,03/20/2010
4276,6641,Jersey City Downtown Branch,101 Hudson Street,Hudson,Jersey City,NJ,7302,Full Service Brick and Mortar Office,01/01/1851,03/20/2010
4277,8169,Middletown Branch,857 Route 35,Monmouth,Middletown,NJ,7748,Full Service Brick and Mortar Office,04/01/1913,03/20/2010
4288,6594,Newark Executive Branch,550 Broad Street,Essex,Newark,NJ,7102,Full Service Brick and Mortar Office,01/01/1812,03/20/2010
4301,6653,Red Bank Main Branch,303 Broad Street,Monmouth,Red Bank,NJ,7701,Full Service Brick and Mortar Office,01/01/1875,03/20/2010
4319,6779,Burlington Springside Branch,1817 Mount Holly Rd,Burlington,Burlington,NJ,8016,Full Service Brick and Mortar Office,07/09/1839,03/20/2010
4327,6661,Hightstown Branch,105 South Main Street,Mercer,Hightstown,NJ,8520,Full Service Brick and Mortar Office,01/01/1870,03/20/2010
4343,6781,Harbor Square Branch,6727 Black Horse Pike,Atlantic,Egg Harbor Township,NJ,8234,Full Service Brick and Mortar Office,01/01/1823,03/20/2010
4345,6694,Toms River Main Street Branch,40 Main Street,Ocean,Toms River,NJ,8753,Full Service Brick and Mortar Office,03/03/1881,03/20/2010
4354,8135,Westmont Plaza Branch,690 W Cuthbert Blvd,Camden,Haddon Township,NJ,8108,Full Service Brick and Mortar Office,09/21/1921,03/20/2010
4585,7741,Bassett Branch,3559 Fairystone Park Hwy,Henry,Bassett,VA,24055,Full Service Brick and Mortar Office,01/01/1907,03/20/2010
4605,7739,Galax Branch,300 N Main St,Galax City,Galax,VA,24333,Full Service Brick and Mortar Office,07/11/1907,03/20/2010
4609,7778,Bridgewater Branch,500 North Main Street,Rockingham,Bridgewater,VA,22812,Full Service Brick and Mortar Office,03/15/1900,03/20/2010
4617,8628,Charlottesville Main Branch,123 E. Main Street,Charlottesville City,Charlottesville,VA,22902,Full Service Brick and Mortar Office,01/01/1903,03/20/2010
4632,8711,Poquoson Branch,2 Victory Boulevard,Poquoson City,Poquoson,VA,23662,Full Service Brick and Mortar Office,01/01/1922,03/20/2010
4656,7802,Old Town Branch,201 N Loudoun Street,Winchester City,Winchester,VA,22601,Full Service Brick and Mortar Office,01/01/1866,03/20/2010
4814,6856,Hamilton Mall Branch,702 Hamilton Street,Lehigh,Allentown,PA,18101,Full Service Brick and Mortar Office,03/30/1930,03/20/2010
4822,8102,Bath Branch,107 East Main Street,Northampton,Bath,PA,18014,Full Service Brick and Mortar Office,07/09/1900,03/20/2010
4833,8059,Brownstown Branch,4201 Oregon Pike,Lancaster,Ephrata,PA,17522,Full Service Brick and Mortar Office,02/12/1908,03/20/2010
4844,6861,Coopersburg Branch,4 South Main Street,Lehigh,Coopersburg,PA,18036,Full Service Brick and Mortar Office,02/24/1907,03/20/2010
